Batch ID,Batch Name,Material Master ID,Material Inventory ID,Status,Material Price History,Total Quantity,Available Quantity,Reserved Quantity,Blocked Stock Quantity,Location,Division,Created Time,Material Code
1-TM-BATCH-19,BATCH1-A0004205103,1-5PXB-1,1-TM-INVENTORY-19,Active,,1,1,0,0,1-J31BMH,1-J30J21,06/04/2023 16:20,A0004205103
1-TM-BATCH-20,BATCH1-A0004205303,1-67OS-1,1-TM-INVENTORY-20,Active,,1,1,0,0,1-J31BMH,1-J30J21,11/09/2023 11:03,A0004205303
1-TM-BATCH-21,BATCH1-A0004205403,1-67OS-2,1-TM-INVENTORY-21,Active,,1,1,0,0,1-J31BMH,1-J30J21,12/11/2024 10:50,A0004205403
1-TM-BATCH-22,BATCH1-A000420650265,1-50S9-20,1-TM-INVENTORY-22,Active,,2,2,0,0,1-J31BMH,1-J30J21,17/07/2024 12:23,A000420650265
1-TM-BATCH-23,BATCH1-A0004206603,1-5YVX-1,1-TM-INVENTORY-23,Active,,2,2,0,0,1-J31BMH,1-J30J21,12/11/2024 17:20,A0004206603
1-TM-BATCH-24,BATCH1-A0004206803,1-6CIC-3,1-TM-INVENTORY-24,Active,,1,1,0,0,1-J31BMH,1-J30J21,19/10/2024 14:31,A0004206803
1-TM-BATCH-25,BATCH1-A0004207103,1-5X8N-1,1-TM-INVENTORY-25,Active,,2,2,0,0,1-J31BMH,1-J30J21,12/11/2024 17:20,A0004207103
1-TM-BATCH-26,BATCH1-A0004207303,1-67A9-1,1-TM-INVENTORY-26,Active,,1,1,0,0,1-J31BMH,1-J30J21,12/11/2024 17:02,A0004207303
1-TM-BATCH-27,BATCH1-A0004207405,1-6B93-1,1-TM-INVENTORY-27,Active,,1,1,0,0,1-J31BMH,1-J30J21,27/02/2024 12:46,A0004207405
1-TM-BATCH-28,BATCH1-A0004207803,1-5UKF-2,1-TM-INVENTORY-28,Active,,3,3,0,0,1-J31BMH,1-J30J21,02/11/2024 12:07,A0004207803
1-TM-BATCH-29,BATCH1-A0004208103,1-70ZC-1,1-TM-INVENTORY-29,Active,,1,1,0,0,1-J31BMH,1-J30J21,10/07/2024 16:05,A0004208103
1-TM-BATCH-30,BATCH1-A0004208104,1-644I-2,1-TM-INVENTORY-30,Active,,2,2,0,0,1-J31BMH,1-J30J21,12/11/2024 17:20,A0004208104
1-TM-BATCH-31,BATCH1-A0004208503,1-5ZV6-3,1-TM-INVENTORY-31,Active,,3,3,0,0,1-J31BMH,1-J30J21,02/11/2024 12:07,A0004208503
1-TM-BATCH-32,BATCH1-A0004208703,1-63IO-3,1-TM-INVENTORY-32,Active,,1,1,0,0,1-J31BMH,1-J30J21,20/07/2024 16:43,A0004208703
1-TM-BATCH-33,BATCH1-A0004208704,1-6DJD-1,1-TM-INVENTORY-33,Active,,3,3,0,0,1-J31BMH,1-J30J21,28/10/2024 12:34,A0004208704
1-TM-BATCH-34,BATCH1-A0004208804,1-6MVB-1,1-TM-INVENTORY-34,Active,,2,2,0,0,1-J31BMH,1-J30J21,28/10/2024 15:14,A0004208804
1-TM-BATCH-35,BATCH1-A0004208904,1-6H9K-5,1-TM-INVENTORY-35,Active,,3,3,0,0,1-J31BMH,1-J30J21,01/08/2024 14:33,A0004208904
1-TM-BATCH-36,BATCH1-A0004209004,1-6MQT-1,1-TM-INVENTORY-36,Active,,3,3,0,0,1-J31BMH,1-J30J21,01/08/2024 14:33,A0004209004
1-TM-BATCH-37,BATCH1-A0004209103,1-6DUJ-1,1-TM-INVENTORY-37,Active,,5,5,0,0,1-J31BMH,1-J30J21,01/08/2024 14:33,A0004209103
1-TM-BATCH-38,BATCH1-A0004209203,1-5XCB-6,1-TM-INVENTORY-38,Active,,2,2,0,0,1-J31BMH,1-J30J21,15/11/2024 13:25,A0004209203
1-TM-BATCH-39,BATCH1-A0004209403,1-5UKF-3,1-TM-INVENTORY-39,Active,,3,3,0,0,1-J31BMH,1-J30J21,08/11/2024 16:36,A0004209403
1-TM-BATCH-40,BATCH1-A0004209503,1-66II-1,1-TM-INVENTORY-40,Active,,1,1,0,0,1-J31BMH,1-J30J21,21/05/2024 12:13,A0004209503
1-TM-BATCH-41,BATCH1-A0004209905,1-6B93-2,1-TM-INVENTORY-41,Active,,1,1,0,0,1-J31BMH,1-J30J21,01/03/2024 17:04,A0004209905
1-TM-BATCH-42,BATCH1-A0004212512,1-26EB-2,1-TM-INVENTORY-42,Active,,2,2,0,0,1-J31BMH,1-J30J21,11/07/2023 12:23,A0004212512
1-TM-BATCH-43,BATCH1-A0004230512,1-26EB-3,1-TM-INVENTORY-43,Active,,2,2,0,0,1-J31BMH,1-J30J21,22/07/2023 18:13,A0004230512
1-TM-BATCH-44,BATCH1-A0004710000,1-243I-1,1-TM-INVENTORY-44,Active,,1,1,0,0,1-J31BMH,1-J30J21,13/10/2020 13:16,A0004710000
1-TM-BATCH-45,BATCH1-A0004920000,1-2SH4-1,1-TM-INVENTORY-45,Active,,1,1,0,0,1-J31BMH,1-J30J21,02/11/2024 12:03,A0004920000
1-TM-BATCH-46,BATCH1-A0004920156,1-3MEK-1,1-TM-INVENTORY-46,Active,,1,1,0,0,1-J31BMH,1-J30J21,02/11/2024 12:03,A0004920156
1-TM-BATCH-47,BATCH1-A0005003201,1-5RM9-5,1-TM-INVENTORY-47,Active,,1,1,0,0,1-J31BMH,1-J30J21,14/09/2024 12:47,A0005003201
1-TM-BATCH-48,BATCH1-A0005409002,1-2BLM-1,1-TM-INVENTORY-48,Active,,1,1,0,0,1-J31BMH,1-J30J21,24/01/2022 16:43,A0005409002
1-TM-BATCH-49,BATCH1-A0005409508,1-35AF-373,1-TM-INVENTORY-49,Active,,2,2,0,0,1-J31BMH,1-J30J21,18/10/2024 12:14,A0005409508
1-TM-BATCH-50,BATCH1-A0005421251,1-1PPR-1,1-TM-INVENTORY-50,Active,,5,5,0,0,1-J31BMH,1-J30J21,07/10/2024 12:06,A0005421251
1-TM-BATCH-51,BATCH1-A0005425100,1-46GI-3,1-TM-INVENTORY-51,Active,,2,2,0,0,1-J31BMH,1-J30J21,15/06/2024 14:44,A0005425100
1-TM-BATCH-52,BATCH1-A0005428612,1-83IV-2,1-TM-INVENTORY-52,Active,,1,1,0,0,1-J31BMH,1-J30J21,06/08/2024 12:36,A0005428612
1-TM-BATCH-53,BATCH1-A0005461366,1-QF1-1,1-TM-INVENTORY-53,Active,,3,3,0,0,1-J31BMH,1-J30J21,05/07/2019 15:35,A0005461366
1-TM-BATCH-54,BATCH1-A0005810004,1-701-1,1-TM-INVENTORY-54,Active,,1,1,0,0,1-J31BMH,1-J30J21,19/03/2018 12:28,A0005810004
1-TM-BATCH-55,BATCH1-A000583010712,1-2V44-2,1-TM-INVENTORY-55,Active,,2,2,0,0,1-J31BMH,1-J30J21,09/10/2021 12:34,A000583010712
1-TM-BATCH-56,BATCH1-A0005832204,1-2LR6-2,1-TM-INVENTORY-56,Active,,1,1,0,0,1-J31BMH,1-J30J21,03/10/2019 17:59,A0005832204
1-TM-BATCH-57,BATCH1-A0005832812,1-1X0J-1,1-TM-INVENTORY-57,Active,,1,1,0,0,1-J31BMH,1-J30J21,05/06/2019 17:22,A0005832812
1-TM-BATCH-58,BATCH1-A0008103300,1-26DQ-2,1-TM-INVENTORY-58,Active,,2,2,0,0,1-J31BMH,1-J30J21,26/07/2021 10:24,A0008103300
1-TM-BATCH-59,BATCH1-A0008103400,1-26DQ-3,1-TM-INVENTORY-59,Active,,1,1,0,0,1-J31BMH,1-J30J21,30/06/2021 12:12,A0008103400
1-TM-BATCH-60,BATCH1-A0008104100,1-2LNZ-1,1-TM-INVENTORY-60,Active,,1,1,0,0,1-J31BMH,1-J30J21,28/07/2021 15:55,A0008104100
1-TM-BATCH-61,BATCH1-A0008160200,1-2NQJ-2,1-TM-INVENTORY-61,Active,,1,1,0,0,1-J31BMH,1-J30J21,28/07/2022 17:42,A0008160200
1-TM-BATCH-62,BATCH1-A0008171016,1-XU5-69,1-TM-INVENTORY-62,Active,,2,2,0,0,1-J31BMH,1-J30J21,14/12/2021 12:58,A0008171016
1-TM-BATCH-63,BATCH1-A0008205409,1-4O2J-3,1-TM-INVENTORY-63,Active,,1,1,0,0,1-J31BMH,1-J30J21,05/09/2024 15:22,A0008205409
1-TM-BATCH-64,BATCH1-A0008206503,1-42TT-15,1-TM-INVENTORY-64,Active,,1,1,0,0,1-J31BMH,1-J30J21,20/01/2022 10:59,A0008206503
1-TM-BATCH-65,BATCH1-A0008206651,1-2B4I-1,1-TM-INVENTORY-65,Active,,1,1,0,0,1-J31BMH,1-J30J21,23/11/2021 15:49,A0008206651
1-TM-BATCH-66,BATCH1-A0008208012,1-A0ME-1,1-TM-INVENTORY-66,Active,,1,1,0,0,1-J31BMH,1-J30J21,30/10/2024 15:01,A0008208012
1-TM-BATCH-67,BATCH1-A0008230245,1-1C8C-6,1-TM-INVENTORY-67,Active,,1,1,0,0,1-J31BMH,1-J30J21,25/05/2015 12:24,A0008230245
1-TM-BATCH-68,BATCH1-A0008280388,1-4W-35,1-TM-INVENTORY-68,Active,,8,8,0,0,1-J31BMH,1-J30J21,14/11/2024 13:01,A0008280388
1-TM-BATCH-69,BATCH1-A0008320285,1-5U-669,1-TM-INVENTORY-69,Active,,2,2,0,0,1-J31BMH,1-J30J21,24/09/2022 12:31,A0008320285
1-TM-BATCH-70,BATCH1-A0009003101,1-1TUF-3,1-TM-INVENTORY-70,Active,,1,1,0,0,1-J31BMH,1-J30J21,02/11/2024 11:47,A0009003101
1-TM-BATCH-71,BATCH1-A0009006713,1-42TT-25,1-TM-INVENTORY-71,Active,,1,1,0,0,1-J31BMH,1-J30J21,28/10/2024 12:26,A0009006713
1-TM-BATCH-72,BATCH1-A0009051003,1-2BBO-1,1-TM-INVENTORY-72,Active,,1,1,0,0,1-J31BMH,1-J30J21,25/06/2024 14:41,A0009051003
1-TM-BATCH-73,BATCH1-A0009052102,1-2LOH-10,1-TM-INVENTORY-73,Active,,1,1,0,0,1-J31BMH,1-J30J21,08/10/2024 14:48,A0009052102
1-TM-BATCH-74,BATCH1-A0009052701,1-20MP-1,1-TM-INVENTORY-74,Active,,1,1,0,0,1-J31BMH,1-J30J21,12/10/2023 18:26,A0009052701
1-TM-BATCH-75,BATCH1-A0009053907,1-4YRF-2,1-TM-INVENTORY-75,Active,,2,2,0,0,1-J31BMH,1-J30J21,12/11/2024 17:20,A0009053907
1-TM-BATCH-76,BATCH1-A0009054104,1-35AH-753,1-TM-INVENTORY-76,Active,,1,1,0,0,1-J31BMH,1-J30J21,07/09/2024 17:51,A0009054104
1-TM-BATCH-77,BATCH1-A00090556049999,1-9-2884,1-TM-INVENTORY-77,Active,,1,1,0,0,1-J31BMH,1-J30J21,07/10/2024 12:24,A00090556049999
1-TM-BATCH-78,BATCH1-A0009055800,1-2G0K-7,1-TM-INVENTORY-78,Active,,1,1,0,0,1-J31BMH,1-J30J21,29/10/2021 14:40,A0009055800
1-TM-BATCH-79,BATCH1-A0009057200,1-1ZBP-2,1-TM-INVENTORY-79,Active,,1,1,0,0,1-J31BMH,1-J30J21,05/06/2019 17:21,A0009057200
1-TM-BATCH-80,BATCH1-A0009058215,1-9MRN-3,1-TM-INVENTORY-80,Active,,1,1,0,0,1-J31BMH,1-J30J21,02/11/2024 11:58,A0009058215
1-TM-BATCH-81,BATCH1-A0009058413,1-8SAQ-422,1-TM-INVENTORY-81,Active,,1,1,0,0,1-J31BMH,1-J30J21,19/10/2024 14:31,A0009058413
1-TM-BATCH-82,BATCH1-A0009059916,1-9MRN-4,1-TM-INVENTORY-82,Active,,1,1,0,0,1-J31BMH,1-J30J21,02/11/2024 12:03,A0009059916
1-TM-BATCH-83,BATCH1-A0009063800,1-QK0-2,1-TM-INVENTORY-83,Active,,1,1,0,0,1-J31BMH,1-J30J21,10/09/2021 11:47,A0009063800
1-TM-BATCH-84,BATCH1-A0009067702,1-1TUF-7,1-TM-INVENTORY-84,Active,,1,1,0,0,1-J31BMH,1-J30J21,19/10/2024 14:37,A0009067702
1-TM-BATCH-85,BATCH1-A000982310826,1-DND-6,1-TM-INVENTORY-85,Active,,1,1,0,0,1-J31BMH,1-J30J21,06/08/2019 11:23,A000982310826
1-TM-BATCH-86,BATCH1-A000982320826,1-EZD-3,1-TM-INVENTORY-86,Active,,1,1,0,0,1-J31BMH,1-J30J21,05/06/2019 17:23,A000982320826
1-TM-BATCH-87,BATCH1-A0009828223,1-2M5U-1,1-TM-INVENTORY-87,Active,,4,4,0,0,1-J31BMH,1-J30J21,05/06/2019 17:21,A0009828223
1-TM-BATCH-88,BATCH1-A0009828323,1-2TQ5-5,1-TM-INVENTORY-88,Active,,1,1,0,0,1-J31BMH,1-J30J21,05/06/2019 17:22,A0009828323
1-TM-BATCH-89,BATCH1-A000982960864,1-8SAS-43,1-TM-INVENTORY-89,Active,,1,1,0,0,1-J31BMH,1-J30J21,11/07/2024 16:07,A000982960864
1-TM-BATCH-90,BATCH1-A0009831710,1-58-923,1-TM-INVENTORY-90,Active,,4,4,0,0,1-J31BMH,1-J30J21,13/11/2024 12:30,A0009831710
1-TM-BATCH-91,BATCH1-A0009838910,1-58-924,1-TM-INVENTORY-91,Active,,80,80,0,0,1-J31BMH,1-J30J21,30/07/2024 18:13,A0009838910
1-TM-BATCH-92,BATCH1-A000986096211,1-2G6J-3,1-TM-INVENTORY-92,Active,,7,7,0,0,1-J31BMH,1-J30J21,07/09/2024 14:46,A000986096211
1-TM-BATCH-93,BATCH1-A000986200016,1-9H3X-3,1-TM-INVENTORY-93,Active,,12,12,0,0,1-J31BMH,1-J30J21,15/11/2024 15:14,A000986200016
1-TM-BATCH-94,BATCH1-A0009864071,1-26PJ-1,1-TM-INVENTORY-94,Active,,1,1,0,0,1-J31BMH,1-J30J21,17/07/2018 15:14,A0009864071
1-TM-BATCH-95,BATCH1-A000986407111,1-2X0J-1,1-TM-INVENTORY-95,Active,,1,1,0,0,1-J31BMH,1-J30J21,31/07/2018 15:00,A000986407111
1-TM-BATCH-96,BATCH1-A000986467411,1-6LDW-7,1-TM-INVENTORY-96,Active,,3,3,0,0,1-J31BMH,1-J30J21,29/07/2024 12:33,A000986467411
1-TM-BATCH-97,BATCH1-A0009865000,1-2O74-1,1-TM-INVENTORY-97,Active,,5,5,0,0,1-J31BMH,1-J30J21,06/03/2023 13:04,A0009865000
1-TM-BATCH-98,BATCH1-A0009865601,1-4YLR-1,1-TM-INVENTORY-98,Active,,2000,2000,0,0,1-J31BMH,1-J30J21,12/11/2024 10:50,A0009865601
1-TM-BATCH-99,BATCH1-A000989015210,1-1WLK-2,1-TM-INVENTORY-99,Active,,1,1,0,0,1-J31BMH,1-J30J21,19/02/2020 11:00,A000989015210
1-TM-BATCH-100,BATCH1-A000989180809,1-88K7-91,1-TM-INVENTORY-100,Active,,19,19,0,0,1-J31BMH,1-J30J21,15/11/2024 15:14,A000989180809
1-TM-BATCH-101,BATCH1-A000989200411CDNI,1-9PYM-2,1-TM-INVENTORY-101,Active,,21000,21000,0,0,1-J31BMH,1-J30J21,22/10/2024 18:25,A000989200411CDNI
1-TM-BATCH-102,BATCH1-A000989210411CDNI,1-9PYM-3,1-TM-INVENTORY-102,Active,,31980,31980,0,0,1-J31BMH,1-J30J21,29/08/2024 16:18,A000989210411CDNI
1-TM-BATCH-103,BATCH1-A0009893200,1-2U74-2,1-TM-INVENTORY-103,Active,,310,310,0,0,1-J31BMH,1-J30J21,09/04/2019 17:19,A0009893200
1-TM-BATCH-104,BATCH1-A000989340911ABAW,1-95IZ-3,1-TM-INVENTORY-104,Active,,18500,18500,0,0,1-J31BMH,1-J30J21,25/10/2024 15:24,A000989340911ABAW
1-TM-BATCH-105,BATCH1-A0009893660,1-66-756,1-TM-INVENTORY-105,Active,,23,23,0,0,1-J31BMH,1-J30J21,15/11/2018 15:35,A0009893660
1-TM-BATCH-106,BATCH1-A000989460009,1-2G4W-6,1-TM-INVENTORY-106,Active,,800,800,0,0,1-J31BMH,1-J30J21,12/11/2024 17:00,A000989460009
1-TM-BATCH-107,BATCH1-A000989490511,1-8D7E-802,1-TM-INVENTORY-107,Active,,3,3,0,0,1-J31BMH,1-J30J21,15/11/2024 16:50,A000989490511
1-TM-BATCH-108,BATCH1-A000989540911CBDI,1-9PYM-6,1-TM-INVENTORY-108,Active,,32100,32100,0,0,1-J31BMH,1-J30J21,15/11/2024 13:22,A000989540911CBDI
1-TM-BATCH-109,BATCH1-A000989540913CBDI,1-9PYM-7,1-TM-INVENTORY-109,Active,,153500,153500,0,0,1-J31BMH,1-J30J21,14/11/2024 13:10,A000989540913CBDI
1-TM-BATCH-110,BATCH1-A000989560509,1-9BOJ-3,1-TM-INVENTORY-110,Active,,8000,8000,0,0,1-J31BMH,1-J30J21,15/11/2024 15:14,A000989560509
1-TM-BATCH-111,BATCH1-A000989610609,1-556N-2,1-TM-INVENTORY-111,Active,,2,2,0,0,1-J31BMH,1-J30J21,27/03/2024 16:25,A000989610609
1-TM-BATCH-112,BATCH1-A000989635111,1-5G-91,1-TM-INVENTORY-112,Active,,400,400,0,0,1-J31BMH,1-J30J21,05/06/2019 17:23,A000989635111
1-TM-BATCH-113,BATCH1-A000989650811FCCI,1-8EVD-3,1-TM-INVENTORY-113,Active,,10000,10000,0,0,1-J31BMH,1-J30J21,19/10/2024 16:37,A000989650811FCCI
1-TM-BATCH-114,BATCH1-A000989730711CAEI,1-9PYM-8,1-TM-INVENTORY-114,Active,,109100,109100,0,0,1-J31BMH,1-J30J21,15/11/2024 15:14,A000989730711CAEI
1-TM-BATCH-115,BATCH1-A000989730713CAEI,1-9PYM-9,1-TM-INVENTORY-115,Active,,82700,82700,0,0,1-J31BMH,1-J30J21,15/11/2024 15:14,A000989730713CAEI
1-TM-BATCH-116,BATCH1-A000989880311,1-6E5A-10,1-TM-INVENTORY-116,Active,,1000,1000,0,0,1-J31BMH,1-J30J21,13/11/2023 14:52,A000989880311
1-TM-BATCH-117,BATCH1-A000989910310,1-5K-442,1-TM-INVENTORY-117,Active,,1,1,0,0,1-J31BMH,1-J30J21,07/12/2015 14:16,A000989910310
1-TM-BATCH-118,BATCH1-A000989980009,1-2NHI-7,1-TM-INVENTORY-118,Active,,3,3,0,0,1-J31BMH,1-J30J21,24/11/2020 13:52,A000989980009
1-TM-BATCH-119,BATCH1-A0009901707,1-56WL-1,1-TM-INVENTORY-119,Active,,6,6,0,0,1-J31BMH,1-J30J21,14/11/2023 12:45,A0009901707
1-TM-BATCH-120,BATCH1-A0009901807,1-5B1W-3,1-TM-INVENTORY-120,Active,,4,4,0,0,1-J31BMH,1-J30J21,15/11/2023 14:37,A0009901807
1-TM-BATCH-121,BATCH1-A0009901819,1-52RF-1,1-TM-INVENTORY-121,Active,,1,1,0,0,1-J31BMH,1-J30J21,07/09/2024 16:01,A0009901819
1-TM-BATCH-122,BATCH1-A0009902037,1-664T-1,1-TM-INVENTORY-122,Active,,4,4,0,0,1-J31BMH,1-J30J21,20/06/2024 10:43,A0009902037
1-TM-BATCH-123,BATCH1-A0009903008,1-2NQJ-7,1-TM-INVENTORY-123,Active,,4,4,0,0,1-J31BMH,1-J30J21,17/01/2018 11:28,A0009903008
1-TM-BATCH-124,BATCH1-A0009904518,1-4NI1-1,1-TM-INVENTORY-124,Active,,8,8,0,0,1-J31BMH,1-J30J21,20/06/2024 10:43,A0009904518
1-TM-BATCH-125,BATCH1-A0009904662,1-23YZ-1,1-TM-INVENTORY-125,Active,,2,2,0,0,1-J31BMH,1-J30J21,29/11/2023 14:28,A0009904662
1-TM-BATCH-126,BATCH1-A0009904807,1-JFI-2,1-TM-INVENTORY-126,Active,,5,5,0,0,1-J31BMH,1-J30J21,30/09/2015 16:23,A0009904807
1-TM-BATCH-127,BATCH1-A0009904808,1-35AD-1048,1-TM-INVENTORY-127,Active,,1,1,0,0,1-J31BMH,1-J30J21,02/11/2024 12:07,A0009904808
1-TM-BATCH-128,BATCH1-A0009904818,1-4NI1-2,1-TM-INVENTORY-128,Active,,2,2,0,0,1-J31BMH,1-J30J21,15/06/2024 16:30,A0009904818
1-TM-BATCH-129,BATCH1-A0009906239,1-9LQ0-1,1-TM-INVENTORY-129,Active,,1,1,0,0,1-J31BMH,1-J30J21,24/06/2024 13:27,A0009906239
1-TM-BATCH-130,BATCH1-A0009907225,1-52YD-1,1-TM-INVENTORY-130,Active,,6,6,0,0,1-J31BMH,1-J30J21,07/09/2024 16:01,A0009907225
1-TM-BATCH-131,BATCH1-A0009907503,1-2IQ2-1,1-TM-INVENTORY-131,Active,,2,2,0,0,1-J31BMH,1-J30J21,22/05/2024 13:25,A0009907503
1-TM-BATCH-132,BATCH1-A0009909118,1-33Q5-1,1-TM-INVENTORY-132,Active,,1,1,0,0,1-J31BMH,1-J30J21,28/04/2023 18:05,A0009909118
1-TM-BATCH-133,BATCH1-A000990930628,1-5WKV-4,1-TM-INVENTORY-133,Active,,3,3,0,0,1-J31BMH,1-J30J21,10/02/2024 10:31,A000990930628
1-TM-BATCH-134,BATCH1-A0009909918,1-59GX-2,1-TM-INVENTORY-134,Active,,10,10,0,0,1-J31BMH,1-J30J21,22/10/2024 12:02,A0009909918
1-TM-BATCH-135,BATCH1-A0009913604,1-8QJ3-1,1-TM-INVENTORY-135,Active,,81,81,0,0,1-J31BMH,1-J30J21,14/11/2024 16:30,A0009913604
1-TM-BATCH-136,BATCH1-A0009914140,1-27U5-2,1-TM-INVENTORY-136,Active,,10,10,0,0,1-J31BMH,1-J30J21,20/06/2024 10:53,A0009914140
1-TM-BATCH-137,BATCH1-A0009914795,1-11HC-1,1-TM-INVENTORY-137,Active,,9,9,0,0,1-J31BMH,1-J30J21,19/02/2022 16:33,A0009914795
1-TM-BATCH-138,BATCH1-A0009919440,1-27OZ-2,1-TM-INVENTORY-138,Active,,5,5,0,0,1-J31BMH,1-J30J21,25/10/2022 15:53,A0009919440
1-TM-BATCH-139,BATCH1-A0009946910,1-2A2S-1,1-TM-INVENTORY-139,Active,,1,1,0,0,1-J31BMH,1-J30J21,23/09/2022 18:05,A0009946910
1-TM-BATCH-140,BATCH1-A0009955833,1-3MEK-2,1-TM-INVENTORY-140,Active,,1,1,0,0,1-J31BMH,1-J30J21,02/11/2024 12:03,A0009955833
1-TM-BATCH-141,BATCH1-A0009958902,1-1SNZ-2,1-TM-INVENTORY-141,Active,,1,1,0,0,1-J31BMH,1-J30J21,02/11/2024 12:03,A0009958902
1-TM-BATCH-142,BATCH1-A0009976709,1-7IEF-1,1-TM-INVENTORY-142,Active,,1,1,0,0,1-J31BMH,1-J30J21,08/10/2024 14:48,A0009976709
1-TM-BATCH-143,BATCH1-A000998254264,1-8SAQ-836,1-TM-INVENTORY-143,Active,,2,2,0,0,1-J31BMH,1-J30J21,29/09/2023 11:43,A000998254264
1-TM-BATCH-144,BATCH1-A0009983685,1-1S8Y-2,1-TM-INVENTORY-144,Active,,2,2,0,0,1-J31BMH,1-J30J21,26/09/2024 10:57,A0009983685
1-TM-BATCH-145,BATCH1-A0009985585,1-2FE1-3,1-TM-INVENTORY-145,Active,,2,2,0,0,1-J31BMH,1-J30J21,03/01/2017 15:50,A0009985585
1-TM-BATCH-146,BATCH1-A0009986750,1-EUB-1,1-TM-INVENTORY-146,Active,,1,1,0,0,1-J31BMH,1-J30J21,19/12/2017 12:30,A0009986750
1-TM-BATCH-147,BATCH1-A0015459373,1-1C8C-7,1-TM-INVENTORY-147,Active,,1,1,0,0,1-J31BMH,1-J30J21,25/05/2015 12:09,A0015459373
1-TM-BATCH-148,BATCH1-A0015466135,1-1ILL-1,1-TM-INVENTORY-148,Active,,2,2,0,0,1-J31BMH,1-J30J21,11/11/2023 14:54,A0015466135
1-TM-BATCH-149,BATCH1-A001982820826,1-2CPG-6,1-TM-INVENTORY-149,Active,,2,2,0,0,1-J31BMH,1-J30J21,01/10/2024 13:04,A001982820826
1-TM-BATCH-150,BATCH1-A0019835010,1-58-918,1-TM-INVENTORY-150,Active,,4,4,0,0,1-J31BMH,1-J30J21,16/11/2018 18:17,A0019835010
1-TM-BATCH-151,BATCH1-A0019845729,1-66-488,1-TM-INVENTORY-151,Active,,2,2,0,0,1-J31BMH,1-J30J21,01/07/2022 15:59,A0019845729
